Ref,LEA_Name,Reference,Contract,POST Participating,City,Latitude,Longitude,County,State,LEA_Type,Site,Policy_Manual_Exists,Mil_Equip_Policy_Exists,Military Equipment Inventory Exists,QA_Policy_Manual,QA_Mil_Equip_Policy,QA Mil_Equip_Inventory (if separate),Notes
SB978-754,San José/Evergreen Community College District Police Department,,no,yes,San Jose,37.33865,-121.8854,Santa Clara County,California,College/University,http://www.sjeccd.edu/district-services/district-police,TRUE,FALSE,FALSE,https://www.sjeccd.edu/DistrictPolice/Documents/SJECCD%20PD%20Policy%20Manual.pdf,,,
SB978-756,Solano Community College District Department of Public Safety,,no,yes,Phelan,34.42605,-117.5725,San Bernandino County,California,College/University,http://www.solano.edu/police/,TRUE,FALSE,FALSE,https://solano.edu/police/2122/Solano_Community_College_DPS_Policy_Manual.pdf,,,
SB978-757,Stallion Springs Police Department,,no,yes,Stallion Springs,35.08237,-118.6362,Kern County,California,Police,https://www.stallionspringscsd.com/police-department-ec708c6,TRUE,TRUE,,https://www.stallionspringscsd.com/police-departmentt,https://www.stallionspringscsd.com/files/4165c9386/BOARD+PACKET+SEPT+2022.pdf,,
SB978-758,State Center Community College District Police Department,,no,yes,Fresno,36.74084,-119.7855,Fresno County,California,College/University,http://scccdpolice.com/,FALSE,TRUE,TRUE,,https://www.scccd.edu/_uploaded-files/documents/departments/police/policies/draft-scccd-policy-706-military-equipment_acc.pdf,https://www.scccd.edu/_uploaded-files/documents/departments/police/policies/attachment-a-to-policy-706-military-equipment_acc.pdf,
SB978-759,Susanville Police Department,,no,yes,Susanville,40.41570,-120.6498,Lassen County,California,Police,http://www.cityofsusanville.net/rooptown/police-department/,TRUE,FALSE,FALSE,http://www.cityofsusanville.net/rooptown/wp-content/uploads/2021/12/PDPolicyManual2021revPUBLIC.pdf,,,
SB978-760,Sutter Creek Police Department,,no,yes,Sutter Creek,38.39341,-120.8030,Amador County,California,Police,https://cityofsuttercreek.org/sutter-creek-police-department/,TRUE,TRUE/Draft,FALSE,https://cityofsuttercreek.org/police/Sutter_Creek_PD_Policy_Manual.pdf,,,"Policy date 2022/08/01, ""Draft"" Lexipol. The manual includes MI policy but there is no inventory"
SB978-761,Tulare County Probation Department,,no,no,Visalia,36.33377,-119.2926,Tulare County,California,Probation,http://tularecounty.ca.gov/probation/,TRUE,TRUE,,https://tularecoprobation.org/information-center/reports-information/policies-and-procedures/facility-policy-and-procedure/,https://tularecoprobation.org/information-center/public-resources/public-notices/ab-481-military-equipment/military-equipment-policy/,,
SB978-762,Tulelake Police Department,,no,yes,Tulelake,41.95422,-121.4767,Siskiyou County,California,Police,http://www.cityoftulelake.com/departments/police-department,TRUE,TRUE,,https://cityofsuttercreek.org/police/Sutter_Creek_PD_Policy_Manual.pdf,https://cityofsuttercreek.org/police/Sutter_Creek_PD_Policy_Manual.pdf,,
SB978-766,Val Verde Unified School District Police Department,,no,yes,Perris,33.78241,-117.2283,Riverside County,California,School District,https://www.valverde.edu/police-department-security-communications-96b31b07/overview-0bcee34a,TRUE,FALSE,FALSE,https://www.edjoin.org/JobDescriptions/566/School%20Police%20Officer%2006%2012%2019-20200826122740.pdf,,,
SB978-769,Yuba Community College District Police Department,,no,yes,Yuba City,39.14094,-121.6198,Sutter County,California,College/University,https://yc.yccd.edu/campus/safety/,TRUE,FALSE,FALSE,https://yc.yccd.edu/publicsafety/wp-content/uploads/sites/14/2020/04/Rules-Regulations-Revised-April-2018-Most-Current.pdf,,,
SB978-001,Alameda County District Attorney,,no,no,Oakland,37.80508,-122.2731,Alameda County,California,District Attorney,https://www.alcoda.org,TRUE,FALSE,FALSE,https://www.alcoda.org/about_us/files/INSPECTOR_POLICY_MANUAL_04182022.pdf,,,
SB978-002,Alameda County Sheriff's Office,,no,yes,Oakland,37.80508,-122.2731,Alameda County,California,Sheriff,https://www.alamedacountysheriff.org,TRUE,TRUE,TRUE,https://www.alamedacountysheriff.org/about-us/public-policies,https://public.powerdms.com/ACSO3/documents/1021442,https://www.alamedacountysheriff.org/home/showpublisheddocument/352/638127567748900000,Updated inventory under review 2/23/23
SB978-003,Alameda Police Department,,no,yes,Alameda,37.76707,-122.2458,Alameda County,California,Police,https://www.alamedaca.gov,TRUE,TRUE,,https://www.alamedaca.gov/files/assets/public/departments/alameda/police/alamda-police-department-policy-manual-10102022.pdf,https://www.alamedaca.gov/files/assets/public/departments/alameda/police/alamda-police-department-policy-manual-10102022.pdf,,
SB978-004,Albany Police Department,,no,yes,Albany,37.88769,-122.2981,Contra Costa County,California,Police,https://www.albanyca.org/departments/police-department,TRUE,TRUE,,https://www.albanyca.org/home/showpublisheddocument/50437/637825246175230000,https://www.albanyca.org/home/showpublisheddocument/50768,,
SB978-005,Alhambra Police Department,,no,yes,Alhambra,34.09442,-118.1278,Los Angeles County,California,Police,https://www.cityofalhambra.org/231/Police-Department,TRUE,TRUE,,https://cityofalhambra.org/DocumentCenter/View/1990/Alhambra_PD_Policy_Manual-PDF,https://www.cityofalhambra.org/DocumentCenter/View/3244/APD-Policy-706-Military-Equipment-draft---PDF,,
SB978-008,Alpine County Sheriff's Department,,no,yes,Markleeville,38.69459,-119.7800,Alpine County,California,Sheriff,https://www.alpinecountyca.gov/204/Sheriff,TRUE,TRUE,,https://www.alpinecountyca.gov/DocumentCenter/View/2842/Alpine-County-Sheriffs-Office-Policy-Manual,NA,,
SB978-009,Alturas Police Department,,no,yes,Alturas,41.49432,-120.5426,Modoc County,California,Police,http://www.cityofalturas.us/departments/public_safety/index.php,TRUE,TRUE,,https://cms4files1.revize.com/alturas/2021%20Alturas%20PD%20Policy%20Manual.pdf,https://cms4files1.revize.com/alturas/2021%20Alturas%20PD%20Policy%20Manual.pdf,,
SB978-011,Amador County Sheriff's Department,,no,yes,Jackson,38.34712,-120.7734,Amador County,California,Sheriff,https://www.amadorsheriff.org,TRUE,TRUE,,https://amadorsheriff.org/images/administration-div/Docs/Amador_CO_SO_CA_Policy_Manual_3_2022.pdf,https://amadorsheriff.org/images/administration-div/Docs/Amador_CO_SO_CA_Policy_Manual_3_2022.pdf,,
SB978-012,American River College Police Department,Los Rios Community College District Police Department,no,yes,Sacramento,38.57944,-121.4908,Sacramento County,California,College/University,https://police.losrios.edu,TRUE,TRUE,,https://police.losrios.edu/lrpd/doc/policy-manual.pdf,https://police.losrios.edu/lrpd/doc/policy-manual.pdf,,
SB978-014,Anaheim Police Department,,no,yes,Anaheim,33.83286,-117.9152,Orange County,California,Police,http://www.anaheim.net,TRUE,TRUE,,https://www.anaheim.net/DocumentCenter/View/29459/APD-Policy-Manual,https://anaheim.net/DocumentCenter/View/44283/Military-Equipment-Policy-May-2022,,
SB978-015,Anderson Police Department,,no,yes,Anderson,40.45056,-122.3012,Shasta County,California,Police,https://www.andersonpolice.org,TRUE,TRUE,,https://www.andersonpolice.org/_files/ugd/b36806_d2a266ebeb1d45e3ae0f60bcc67ec92a.pdf,https://5c939e29-1258-4f7d-8c66-e5109faca613.filesusr.com/ugd/3f9102_e5f42dfaeace4c65a4472088b6aacb49.docx?dn=AB%20481%20policy%203.2022.docx,,
SB978-016,Angels Camp Police Department,,no,yes,Angels Camp,38.07009,-120.5408,Calaveras County,California,Police,http://angelscamp.gov,TRUE,TRUE,,http://angelscamp.gov/wp-content/uploads/2020/02/ACPD-POLICY-MANUAL.pdf,http://angelscamp.gov/wp-content/uploads/Military_Equipment-10.pdf,,
SB978-017,Antioch Police Department,,no,yes,Antioch,38.01583,-121.8197,Contra Costa County,California,Police,https://www.antiochca.gov,TRUE,TRUE,,https://www.antiochca.gov/fc/police/apd-policy-manual.pdf,https://www.antiochca.gov/fc/police/apd-policy-manual.pdf,,
SB978-018,Apple Valley Unified School District Police Department,,no,yes,Apple Valley,34.52373,-117.2164,San Bernardino County,California,School,https://www.avusd.org/departments/district-police,TRUE,TRUE,,NA,NA,,
SB978-019,Arcadia Police Department,,no,yes,Arcadia,34.13641,-118.0386,Los Angeles County,California,Police,https://www.arcadiaca.gov,TRUE,TRUE,,https://cms9files.revize.com/arcadia/Protect%20Arcadia/police/Policy%20Manual%20Released%209-12-2022.pdf,https://cms9files.revize.com/arcadia/Arcadia%20PD%20-%20Policy%20708%20Military%20Equipment-Final.pdf,,
SB978-020,Arcata Police Department,,no,yes,Arcata,40.86766,-124.0851,Humboldt County,California,Police,https://www.cityofarcata.org,TRUE,TRUE,,https://www.cityofarcata.org/DocumentCenter/View/11850/Arcata-PD-Policy-Manual-04202022,https://www.cityofarcata.org/DocumentCenter/View/11850/Arcata-PD-Policy-Manual-04202022,,
SB978-021,Arroyo Grande Police Department,,no,yes,Arroyo Grande,35.12435,-120.5768,San Luis Obispo County,California,Police,http://www.agpd.org,TRUE,TRUE,,http://www.agpd.org/DocumentCenter/View/7635/AGPD-Policy-Manual-PDF?bidId=,https://www.agpd.org/DocumentCenter/View/10409/Assembly-Bill-481-Military-Equipment,,
SB978-022,Arvin Police Department,,no,yes,Arvin,35.20902,-118.8289,Kern County,California,Police,https://www.arvin.org,TRUE,TRUE,,https://www.arvin.org/DocumentCenter/View/288/Arvin-Police-Department-Policy-Manual-PDF,NA,,
SB978-023,Atascadero Police Department,,no,yes,Atascadero,35.48880,-120.6693,San Luis Obispo County,California,Police,https://www.atascadero.org,TRUE,TRUE,TRUE,https://www.atascadero.org/files/PD/PD_Policy_Manual.pdf,https://www.atascadero.org/files/PD/Draft%20AB%20481%20Military%20Equipment%20Lexipol%20Based%20Policy.pdf,https://www.atascadero.org/files/PD/AB%20481%20Military%20Equipement%20List%20Attachement%20A%20Policy%20708.pdf,
SB978-024,Atherton Police Department,,no,yes,Atherton,37.46248,-122.1978,San Mateo County,California,Police,https://www.ci.atherton.ca.us,TRUE,TRUE,,https://www.ci.atherton.ca.us/DocumentCenter/View/9863/Lexipol-Policy-Manual-1-26-2022,https://www.ci.atherton.ca.us/DocumentCenter/View/9863/Lexipol-Policy-Manual-1-26-2022,,
SB978-025,Atwater Police Department,,no,yes,Atwater,37.34584,-120.6088,Merced County,California,Police,https://www.atwater.org,TRUE,TRUE,,https://www.atwater.org/wp-content/uploads/2019/12/Atwater_PD_Policy_Manual.pdf,https://www.atwater.org/wp-content/uploads/2022/02/Military_Equipment_policy_draft-1.pdf,,
SB978-026,Auburn Police Department,,no,yes,Auburn,38.89620,-121.0789,Placer County,California,Police,https://www.auburn.ca.gov,TRUE,TRUE,,https://www.auburn.ca.gov/DocumentCenter/View/1657/Auburn-Police-Department-Policy-and-Procedure-Manual-12-23-19,https://www.auburn.ca.gov/603/Assembly-Bill-481,,"The military equipment policies are linked here, but they aren't publicly available. You have to create an account to view them?"
SB978-027,Avenal Police Department,,no,yes,Avenal,36.00390,-120.1298,Kings County,California,Police,https://www.cityofavenal.com,TRUE,TRUE,,https://cityofavenal.com/DocumentCenter/View/2488/LAW-ENFORCEMENT-CODE-OF-ETHICS,https://cityofavenal.com/DocumentCenter/View/3226/Chapter---11---Military-Use-Updated-4192022,,"Policies are all separated out and there isn't a shareable link to post here. If you go to the /DocumentCenter link, click on the Police folder and then the Policies and Procedures subfolder you should see them."
SB978-029,Azusa Police Department,,no,yes,Azusa,34.13361,-117.9060,Los Angeles County,California,Police,https://azusapd.org,TRUE,TRUE,,https://www.azusapd.org/images/SB978_Training/Manual/Azusa%20PD%20Policy%20Manual%2007-13-2022.pdf,NA,,
SB978-030,Bakersfield Police Department,,no,yes,Bakersfield,35.36723,-119.0189,Kern County,California,Police,https://www.bakersfieldcity.us,TRUE,TRUE,,https://content.civicplus.com/api/assets/c25047cc-bf92-485b-baeb-e2b4cf1d1629,NA,,
SB978-033,Banning Police Department,,no,yes,Banning,33.92544,-116.8765,Riverside County,California,Police,http://www.banning.ca.us,TRUE,TRUE,TRUE,https://banningca.gov/DocumentCenter/View/10226/RELEASE_20220310_T212247_Banning_PD_Policy_Manual?bidId=,https://banningca.gov/DocumentCenter/View/10367/Att-2-BPD-Policy-708---Military-Equipment,https://banningca.gov/DocumentCenter/View/10415/Att-3-BPD-Specialized-Police-Equipment-Inventory,
SB978-034,Barstow Police Department,,no,yes,Barstow,34.89308,-117.0255,San Bernardino County,California,Police,https://www.barstowca.org,TRUE,TRUE,,https://www.barstowca.org/home/showdocument?id=5837,https://www.barstowca.org/home/showpublisheddocument/7552,,
SB978-035,Bay Area Rapid Transit Police Department,,no,yes,Oakland,37.80508,-122.2731,San Francisco Bay Area Rapid Transit District (Calif.),California,Transit,https://www.bart.gov,TRUE,TRUE,, https://www.bart.gov/sites/default/files/docs/Lexipol%20Policy%20Manual%20March%202020.pdf,https://www.bart.gov/sites/default/files/docs/Draft%20Military%20Equipment%20Use%20Policy%20%28Lexipol%20Policy%20711%29%20and%20Military%20Equipment%20Inventory_0.pdf,,
SB978-036,Bear Valley Police Department,,no,yes,Tehachapi,35.13224,-118.4491,Alpine County,California,Police,https://www.bvcsd.com,TRUE,TRUE,,https://uploads-ssl.webflow.com/5cdc7ca6d8a73b946527cfa1/5fe25ea5f050d567db516cd3_RELEASE_20201222_T133105_Bear_Valley_PD_Policy_Manual%20(1).pdf,NA,,
SB978-037,Beaumont Police Department,,no,yes,Beaumont,33.92938,-116.9746,Riverside County,California,Police,http://beaumontpd.org,TRUE,TRUE,,http://www.beaumontpd.org/DocumentCenter/View/37037/Beaumont-Police-Department-Policy-PDF,http://beaumontpd.org/DocumentCenter/View/37346/Policy-709-Military-Specialized-Police-Equipment,,
SB978-038,Bell Gardens Police Department,,no,yes,Bell Gardens,33.96998,-118.1490,Los Angeles County,California,Police,https://www.bellgardens.org,TRUE,TRUE,,https://www.bellgardens.org/home/showpublisheddocument/5591/637938257880670000,https://www.bellgardens.org/home/showpublisheddocument/5591/637938257880670000,,
SB978-040,Belmont Police Department,,no,yes,Belmont,37.51842,-122.2763,San Mateo County,California,Police,https://www.belmont.gov,TRUE,TRUE,,https://www.belmont.gov/home/showpublisheddocument/18935/637632371657830000,https://www.belmont.gov/home/showpublisheddocument/21597/637920986984100000,,
SB978-041,Belvedere Police Department,,no,yes,Belvedere,37.87494,-122.4674,Marin County,California,Police,https://www.cityofbelvedere.org,TRUE,TRUE,,https://www.cityofbelvedere.org/DocumentCenter/View/7587/Policy-207---Police-Policy-Manual,https://www.cityofbelvedere.org/DocumentCenter/View/8437/RELEASE_20220814_T171606_Belvedere_PD_Policy_Manual,,
SB978-042,Benicia Police Department,,no,yes,Benicia,38.05285,-122.1535,Solano County,California,Police,https://www.ci.benicia.ca.us,TRUE,TRUE,,https://www.ci.benicia.ca.us/vertical/sites/%7BF991A639-AAED-4E1A-9735-86EA195E2C8D%7D/uploads/RELEASE_20220428_T130216_Benicia_PD_Policy_Manual.pdf,https://www.ci.benicia.ca.us/vertical/sites/%7BF991A639-AAED-4E1A-9735-86EA195E2C8D%7D/uploads/AB_481_Draft_Policy.pdf,,
SB978-043,Berkeley Police Department,,no,yes,Berkeley,37.86988,-122.2705,Alameda County,California,Police,https://berkeleyca.gov,TRUE,TRUE,,https://berkeleyca.gov/sites/default/files/documents/RELEASE_20220921_T152222_Berkeley_PD_Policy_Manual.pdf,https://berkeleyca.gov/sites/default/files/documents/RELEASE_20220921_T152222_Berkeley_PD_Policy_Manual.pdf,,
SB978-044,Beverly Hills Police Department,,no,yes,Beverly Hills,34.07360,-118.4005,Los Angeles County,California,Police,https://www.beverlyhills.org,TRUE,TRUE,TRUE,https://www.beverlyhills.org/cbhfiles/storage/files/1787600804952259300/BHPDManual(2-2020).pdf,https://www.beverlyhills.org/cbhfiles/storage/files/1477884586602467599/Military_Equipment_Use_Policy(5).pdf,https://www.beverlyhills.org/cbhfiles/storage/files/5367468081035991777/MilitaryEquipmentInventory.pdf,
SB978-049,Blythe Police Department,,no,yes,Blythe,33.61040,-114.5985,Riverside County,California,Police,https://www.cityofblythe.ca.gov,TRUE,TRUE,,https://www.cityofblythe.ca.gov/DocumentCenter/View/1465/Blythe-Police-Department-Policy-Manual,https://www.cityofblythe.ca.gov/DocumentCenter/View/1808/Blythe-Police-Department---Military-Equipment-Use-Policy---Draft-3-12-2022?bidId=,,
